index,tunnel,green,sido,tunnel_rate,sig_cd
강원도 고성군,1,54827,강원도,0.18239188720885696,42820
강원도 삼척시,20,104323,강원도,1.9171227821285812,42230
강원도 양구군,7,52993,강원도,1.3209291793255713,42800
강원도 양양군,52,52485,강원도,9.907592645517767,42830
강원도 영월군,11,95389,강원도,1.1531727977020412,42750
강원도 정선군,1,104220,강원도,0.09595087315294569,42770
강원도 철원군,3,59849,강원도,0.5012615081287908,42780
강원도 태백시,3,26855,강원도,1.117110407745299,42190
강원도 평창군,30,119586,강원도,2.508654859264462,42760
강원도 홍천군,88,151734,강원도,5.799623024503408,42720
강원도 화천군,7,76832,강원도,0.9110787172011662,42790
강원도 횡성군,17,76193,강원도,2.2311760922919426,42730
경기도 가평군,24,69030,경기도,3.476749239461104,41820
경기도 연천군,2,41162,경기도,0.4858850395996307,41800
경상남도 거창군,8,60250,경상남도,1.3278008298755188,48880
경상남도 고성군,12,33700,경상남도,3.560830860534125,48820
경상남도 남해군,1,23813,경상남도,0.4199386889514131,48840
경상남도 밀양시,47,51798,경상남도,9.073709409629714,48270
경상남도 산청군,16,61123,경상남도,2.617672561883415,48860
경상남도 의령군,0,32983,경상남도,0.0,48720
경상남도 창녕군,0,28318,경상남도,0.0,48740
경상남도 하동군,10,48542,경상남도,2.060071690494829,48850
경상남도 함안군,16,20927,경상남도,7.645625268791513,48730
경상남도 함양군,28,55577,경상남도,5.038055310650089,48870
경상남도 합천군,25,70669,경상남도,3.5376190408807253,48890
경상북도 고령군,31,24367,경상북도,12.722124184347685,47830
경상북도 군위군,18,46147,경상북도,3.9005785858235638,47720
경상북도 문경시,23,70256,경상북도,3.27374174447734,47280
경상북도 봉화군,1,96412,경상북도,0.10372152844044309,47920
경상북도 상주시,42,82924,경상북도,5.064878684096281,47250
경상북도 성주군,6,41109,경상북도,1.4595344085236808,47840
경상북도 안동시,43,106975,경상북도,4.019630754849264,47170
경상북도 영덕군,50,60224,경상북도,8.302337938363443,47770
경상북도 영양군,2,69839,경상북도,0.2863729434842996,47760
경상북도 영주시,10,41154,경상북도,2.429897458327259,47210
경상북도 영천시,16,62185,경상북도,2.5729677574977887,47230
경상북도 울릉군,12,5481,경상북도,21.893814997263274,47940
경상북도 울진군,0,84811,경상북도,0.0,47930
경상북도 의성군,48,82111,경상북도,5.845745393430843,47730
경상북도 청도군,9,49605,경상북도,1.8143332325370427,47820
경상북도 청송군,20,69007,경상북도,2.8982566985957945,47750
대구광역시 남구,2,408,대구광역시,49.01960784313725,27200
대구광역시 서구,7,198,대구광역시,353.5353535353535,27170
부산광역시 동구,5,272,부산광역시,183.82352941176472,26170
부산광역시 서구,4,683,부산광역시,58.565153733528554,26140
부산광역시 영도구,0,387,부산광역시,0.0,26200
인천광역시 강화군,0,17682,인천광역시,0.0,28710
인천광역시 옹진군,0,12173,인천광역시,0.0,28720
전라남도 강진군,16,28503,전라남도,5.61344419885626,46810
전라남도 고흥군,6,45162,전라남도,1.3285505513484788,46770
전라남도 곡성군,4,39366,전라남도,1.0161052685058172,46720
전라남도 구례군,20,33720,전라남도,5.931198102016608,46730
전라남도 담양군,17,27218,전라남도,6.245866705856418,46710
전라남도 보성군,46,41164,전라남도,11.174812943348558,46780
전라남도 신안군,0,32173,전라남도,0.0,46910
전라남도 영광군,10,20632,전라남도,4.846839860411012,46870
전라남도 영암군,17,22487,전라남도,7.55992351136212,46830
전라남도 완도군,0,25716,전라남도,0.0,46890
전라남도 장성군,25,31745,전라남도,7.87525594581824,46880
전라남도 장흥군,37,38813,전라남도,9.532888465204957,46800
전라남도 진도군,0,25082,전라남도,0.0,46900
전라남도 함평군,8,18082,전라남도,4.424289348523393,46860
전라남도 해남군,0,44250,전라남도,0.0,46820
전라남도 화순군,5,57578,전라남도,0.8683872312341518,46790
전라북도 고창군,11,26110,전라북도,4.212945231711988,45790
전라북도 김제시,2,11519,전라북도,1.7362618282837052,45210
전라북도 남원시,40,46955,전라북도,8.518794590565435,45190
전라북도 무주군,21,50972,전라북도,4.119908969630385,45730
전라북도 부안군,1,19817,전라북도,0.5046172478175305,45800
전라북도 순창군,4,33031,전라북도,1.21098362144652,45770
전라북도 임실군,26,40686,전라북도,6.390404561765718,45750
전라북도 장수군,31,39703,전라북도,7.8079742084980985,45740
전라북도 정읍시,10,32338,전라북도,3.0923371884470283,45180
전라북도 진안군,30,60551,전라북도,4.954501164307774,45720
충청남도 공주시,30,60071,충청남도,4.994090326447038,44150
충청남도 금산군,8,40328,충청남도,1.9837333862328903,44710
충청남도 논산시,3,23242,충청남도,1.2907667154289648,44230
충청남도 보령시,5,32707,충청남도,1.5287247378237074,44180
충청남도 부여군,13,31597,충청남도,4.114314650125012,44760
충청남도 서천군,12,14523,충청남도,8.262755629002273,44770
충청남도 예산군,11,24506,충청남도,4.488696645719416,44810
충청남도 청양군,7,31498,충청남도,2.2223633246555337,44790
충청남도 태안군,0,23326,충청남도,0.0,44825
충청북도 괴산군,20,62103,충청북도,3.220456338663188,43760
충청북도 단양군,25,64227,충청북도,3.892443987731016,43800
충청북도 보은군,18,39807,충청북도,4.521817770743839,43720
충청북도 영동군,17,65745,충청북도,2.585747965624762,43740
충청북도 옥천군,25,349001,충청북도,0.7163303257010726,43730
충청북도 제천시,6,64042,충청북도,0.936885169107773,43150
